2002	ES1	ES2	ES3	ES4	ES5	ES6	ES7	FR1	FR2	FR3	FR4	FR5	FR6	FR7	FR8	IT1	IT2	IT3	IT4	IT5	IT6	IT7	IT8	IT9	ITA	ITB	UKC  	UKD  	UKE  	UKF  	UKG  	UKH  	UKI  	UKJ  	UKK  	UKL  	UKM  	BE1	BE2	BE3	DE1	DE2	DE3	DE5	DE6	DE7	DE9	DEA	DEB	DEC	GR1	GR2	GR3	GR4	NL1	NL2	NL3	NL4	AT1	AT2	AT3	PT1	IE	LU	FI	SE	DK	NO
1985	3.225292242	10.17094017	4.711538462	7.971400873	7.636430678	10.60022026	7.028985507	27	21.00763359	15.96825397	21.02105263	14.49242424	13.61148649	12.70391061	18.66666667	11.60367722	18.40030912	15.54411765	15.49280177	10.7378741	14.95403473	8.317399618	5.406724512	8.158667973	10.90068493	10.75987842	24.94252874	17.6344086	18.12154696	18.15837937	28.67768595	14.74761255	208.8235294	5.848101266	6.187717265	19.81617647	5.795454545	12.5	23.52583587	20.30927835	11.1211778	7.75444664	16.66666667	16.92307692	10.11363636	11.08965517	17.38437821	12.20125786	12.97237569	17.75	7.080745342	5.57844691	9.494949495	7.261809448	22.65168539	19.81958763	23.23930846	23.88081395	103.7272727	80	93.45794393	2.279831045	13.95027624	15.6	19.78959905	4.94647636	20.97206704	16.94594595
1986	3.623015873	10.4975923	3.990147783	7.241749396	8.185110664	10.48056321	7.450199203	26.96	21.00260417	17.31147541	22.22826087	15.43157895	14.27083333	13.1954023	19.56462585	10.88645418	18.59635812	15.82342177	18.24100514	13.13844457	13.7267658	8.838334947	5.537459283	7.661160355	10.46610169	11.67495854	22.09183673	17.43421053	17.27984344	19.59381044	26.23762376	16.00284495	236.875	5.890227577	6.387559809	23.62763916	6.224328594	10	23.8803681	23.85026738	13.39041096	8.654898061	17.14285714	18.18181818	10.56818182	11.747851	20.42721519	13.52634627	10.96371882	21.05263158	6.906506773	6.087866109	18.19095477	6.587112172	25.72072072	23.91428571	27.00661001	24.73684211	111.8867925	82.95454545	95	2.544	13.91812865	16.71428571	19.94641385	4.915572233	20.68571429	19.80821918
1987	3.957942952	11.97022767	4.077669903	8.781324189	9.382511397	11.24432334	10.34802784	26.56	22.14673913	15.49152542	22.69662921	16.88493151	15.44444444	14.57142857	19.84615385	11.94402036	18.58849888	17.06460674	17.57525999	13.54006586	14.13760603	8.526504942	6.806071871	8.60625	10.08403361	10.95384615	27.00680272	18.80597015	19.09278351	18.2	29.34537246	16.19469027	229.375	5.543905636	5.850574713	25.6352459	6.666666667	12.5	23.35413417	21.69398907	13.4097767	8.514540215	17.16981132	20	12	11.24233129	18.82548476	12.46445498	9.308323564	17.63157895	7.337828412	5.75205787	16.25	6.446280992	25.63981043	25.10301109	27.53665689	21.5542522	118.0392157	88.33333333	94.11764706	2.635227273	16.11904762	16.08695652	20.65696649	5.1998002	20.40828402	21.27464789
1988	4.268932243	12.72972973	4.196891192	9.309878214	9.123505976	11.85644278	10.35885167	28.6	23.98591549	17.24561404	25.08235294	16.71104816	15.05925926	15.34591195	20.82481752	11.90700104	18.86792453	17.61116856	19.32808717	13.13612866	14.97461929	7.592592593	7.420634921	8.60740092	9.433144381	11.47540984	23.98843931	15.97727273	16.68789809	15.41353383	25.59912854	17.41456166	190.5	5.475	6.514360313	26.72055427	6.576086957	7.5	24.92706645	25.35816619	15.14093137	10.1497089	19.61538462	20.90909091	13.41463415	13.91162029	18.95797352	13.29419036	11.16363636	21.62162162	7.640423573	6.340167046	17.74358974	6.582792208	30.04962779	20.66666667	26.73267327	22.00920245	126.0784314	92.19512195	98.6	2.432977461	17.81097561	16.96969697	21.63830822	5.071501532	23.23312883	20.83571429
1989	5.058611362	13.95756458	5.494505495	9.14893617	10.53817847	12.54707948	12.41116751	28.70833333	25.91520468	17.2962963	27.1097561	17.62241888	16.14285714	16.98013245	22.63636364	12.80353201	22.56410256	18.58695652	20.40078844	15.10502864	14.63968411	9.419551935	8.055267703	8.387096774	10.04988488	8.952234206	26.82926829	17.38927739	21.04895105	19.69162996	21.05354059	17.30290456	182.5581395	5.385542169	6.184538653	26.35021097	7.341040462	10	26.70473083	24.36046512	16.18616677	10.18271462	17.88461538	20	11.35802469	14.75177305	21.02362205	14.75304682	13.43358396	16.38888889	7.916566771	6.823248408	17.30964467	7.174849268	43.96491228	26.21621622	27.88785047	25.85889571	116.6336634	100.625	104.1836735	2.915829146	18.23493976	18.125	21.26701079	5.048231511	26.33548387	20.35294118
1990	5.428033866	13.92039801	5.449101796	9.617437722	11.1431316	14.44976077	13.7704918	27.73913043	27.7791411	18.43137255	26.89873418	18.56481481	17.125	18.28965517	24.41732283	14.39039409	22.40174672	20.41179744	23.26271186	14.99360614	14.71578947	9.920634921	7.375565611	6.088484598	9.197644461	8.100407056	30.625	19.3911007	21.3800905	22.48858447	25.97701149	21.13122172	144.3548387	6.662303665	6.462324393	23.55595668	7.008928571	10	26.1627907	24.50746269	18.47898599	10.80108011	18.5483871	22.27272727	12	17.59425494	22.5734355	15.78843627	15.1285347	23.82352941	7.54514525	6.215128755	16.15384615	6.457437661	40.68627451	27.51396648	30.78252957	27.05307263	121.4851485	100	112.5	3.026490066	17.17177914	18.70967742	22.33847637	6.21559633	27.71621622	21.76515152
1991	5.682356035	16.83651805	6.482758621	10.68399453	12.47384937	16.62959218	13.97553517	32.86363636	27.0984127	17.85714286	26.93421053	18.60771704	16.17721519	18.65467626	26.65	12.9811779	22.85591027	19.37297297	21.35033758	14.6009085	15.62365591	10.30785563	6.81177977	9.410760034	11.64205345	8.803526448	42.80701754	21.86842105	20.15810277	22.76404494	23.96160558	20.63063063	142.96875	6.277372263	6.042841037	28.81431767	8.752079867	13.33333333	28.81270903	25.63636364	14.7116737	9.699969069	10.99099099	21.2	14.28571429	14.95606327	23.95422759	16.97564276	15.14685315	17.41935484	8.179637527	8.247489472	19.13580247	7.688723206	30.61068702	23.7721519	31.46255507	26.14864865	114.1346154	99.86666667	100.2020202	2.596920539	15.54491018	15.64516129	21.41444115	6.679738562	30.87943262	21.67460317
1992	6.602637615	15.63714903	8.613138686	10.54014058	13.63839286	17.02988338	17.51552795	32.81818182	30.09933775	19.57446809	31.45205479	23.55333333	22.49781659	19.70676692	27.47787611	15.31168831	26.90232558	22.51343284	28.90410959	16.59771755	15.68329718	10.10917031	6.083143878	7.819808827	10.31824147	10.17808219	46.90909091	21.125	20.36144578	22.40780911	24.566787	23.31707317	159.2063492	7.006369427	5.408805031	36.61654135	9.695340502	20	28.65853659	27.16763006	21.11434814	11.0755814	13.55769231	22	25.13157895	17.8968254	29.47686117	20.46560111	17.532097	22.06896552	7.307898979	7.551020408	15.81395349	6.907593779	30.10126582	21.58021713	27.69488684	24.15364583	112.7	89.625	99.1	2.346189164	18.05806452	19.19354839	23.35073069	7.149659864	30.07352941	21.43220339
1993	6.714413608	15.98459846	8.561151079	12.81413087	13.74113475	17.59722757	14.5625	25.56603774	24.22506041	17.07048458	29.10791367	19.485754	18.22536496	19.44664032	27.17514124	16.97722567	29.09272183	23.01675978	29.49852507	17.1875	17.3836478	10.30267753	6.147655703	9.189678588	10.56038984	11.42446043	44.95575221	20.48843188	21.17894737	21.85354691	23.4352518	21.04333868	115.2702703	6.060991105	5.727590221	31	8.785714286	15	35.48042705	29.79104478	18.43773585	10.98293515	13.55769231	22.08333333	22.66666667	18.19327731	30.54558507	19.33333333	17.97169811	26.15384615	6.640042599	7.17063359	16.55629139	6.581196581	26.50990099	19.08235294	25.59308072	16.8	108.2	93.75	100.3	2.061246697	16.61038961	19.49152542	26.18008949	7.435714286	34.2761194	23.39285714
1994	6.726698262	15.3674833	8.071428571	13.0266552	13.35148215	17.14792899	14.13043478	25.68075117	25.85106383	18.63849765	32.36923077	21.05933746	18.50601295	21.36738056	29.24882629	18.95179801	31.86862967	24.72258917	29.50884086	18.62896979	18.11518325	11.20451694	6.334924715	9.702209414	11.55185466	12.33384853	41.2295082	19.97368421	18.96620278	19.88888889	22.74509804	21.56451613	95	6.276595745	5.514450867	37.1388102	8.752052545	25	29.34579439	27.72727273	21.11464968	10.65061107	12.63157895	19.58333333	25.86666667	16.8161435	32.18304576	18.99775617	17.40368509	24.61538462	7.763552166	7.81520693	20.49295775	8.133333333	26.26506024	21.84371184	28.28665568	19.9517491	119.1	127.8333333	101.5	2.173380303	17.59027778	19.66101695	32.55267911	7.897810219	35.86466165	25.33333333
1995	6.549247606	15.37735849	6.93877551	12.8265817	12.54174397	15.51512674	12.76595745	23.78640777	24.30049828	17.42092457	31.41719745	20.7145572	18.08999521	20.79661017	29.06679764	21.18398637	30.41052632	25.95643295	29.82107356	20.27295285	19.26345609	13.0713246	6.635514019	10.50103842	11.99453552	12.19474498	33.65079365	20.58823529	18.37728195	20.54373522	20.98418278	23.16139767	91.77777778	5.656050955	3.875545852	30.98039216	7.268656716	25	34	35.08650519	22.26399332	11.28971256	12.86956522	19.16666667	26.26666667	18.29736211	33.7694704	20.89201878	19.82046679	38.23529412	7.564696268	7.891586299	18.68421053	7.77665996	25.03703704	25.42986425	28.51648352	23.19060773	107.3	135	109.3333333	2.287016661	18.52816901	19.82758621	37.85714286	7.57037037	39.38967136	25.77358491
1996	7.796954315	17.98387097	5.444444444	15.5540721	13.78443114	18.02726544	14.29305913	22.14285714	23.64548495	16.96569921	32.22996516	21.08731466	18.07320793	19.84628523	29.3125	22.08955224	34.60910152	27.54583921	33.83314543	22.27436823	20.12693935	13.73049645	7.370401338	11.55996645	12.6873706	13.20197044	35.51724138	21.65289256	19.01287554	22.16710183	22.14689266	24.32915921	108.3783784	5.991735537	4.011363636	33.33333333	7.289156627	25	32.30529595	33.76760563	26.90860215	12.5617159	13.33333333	22.08333333	27.73333333	20.54263566	36.97423109	23.61226181	22.69449715	39.41176471	7.812412244	7.803753704	18.75	6.921005386	25.96816976	23.32874828	28.69047619	21.82767624	114.1	140.5	104.3333333	2.227536232	19.4965035	21.48148148	40.33309196	7.85483871	40.35799523	26.75
1997	8.557919622	17.55813953	3.947368421	15.26149684	13.62776025	14.41197183	12.44239631	20.73298429	23.27508961	16.76966292	33.64485981	21.81698774	18.28314844	20.12334802	30.04324324	23.53051643	35.96555966	28.25164594	34.31490385	23.30170778	20.93093093	14.46455505	7.543237251	12.51280506	13.03758741	13.72649573	36.08695652	21.85082873	19.31415929	22.04545455	23.48927875	24.92857143	108.5333333	5.87755102	4.144578313	33.45505618	8.188034188	25	33.53233831	30.19933555	27.54020814	13.31333048	14.71153846	22.08333333	32.34375	20.81743869	38.20623917	24.56822107	24.7082495	38.23529412	7.488801792	7.893277893	20.91603053	6.973684211	24.62724936	22.44473342	28.57913669	21.20797011	116.1	151	90.6	1.928914256	21.82608696	23.26923077	47.90697674	8.608695652	40.01564945	27.06862745
1998	9.379746835	17.14445689	4.891304348	16.26323056	13.54422604	14.03782349	15.10869565	21.54255319	25.45279383	17.90419162	36.72032193	23.1220876	19.30601093	20.51351351	31.57541899	25.69849246	38.68831169	29.98479087	37.46786632	25.06493506	22.72	15.71428571	8.166823751	13.78782948	14.04993065	14.625	31.40740741	21.84357542	19.65665236	21.40435835	23.04924242	25.10676157	105.8441558	5.243445693	4.136310223	33.125	7.966101695	25	39.33333333	32.09558824	29.18163673	13.97737557	14.90384615	22.08333333	34.19354839	21.97101449	40.04528986	25.66787004	26.20469083	40.625	8.269875114	8.854087089	18.34437086	7.5580222	24.74489796	23.27152318	29.59128065	21.13861386	118.6	155.8333333	102.8888889	1.930641822	21.74568966	21.03448276	50.08688784	8.844404004	41.13564669	27.67326733
