Year	Ybeijing	Ytianjin	Yhebei	Yshanxi	Ymongo	Yliaoning	YJilin	YHLJ	Yshanghai	Yjiangsu	YZJ	YAH	YFJ	YJX	YSD	YHenan	YHubei	Yhunan	Yguangdong	YGangxi	YSichuan	YGuiz	Yyuannan	Yshanxi	YGansu	YQinghai	YNXia	Yxinjiang
1988	8.888051937	8.678472138	7.703565964	7.713853852	7.728691818	8.367222118	7.945198908	8.188183715	9.202616904	8.130379484	8.136624395	7.486026801	7.903789092	7.397782943	7.874575183	7.522561296	7.746515996	7.620797606	8.066323905	7.402426784	7.511302967	7.102603341	7.495112432	7.561703694	7.259406062	7.832099499	7.745488987	7.947304652
1989	8.91143023	8.678969667	7.748046485	7.748934136	7.742050821	8.3847675	7.903890186	8.237326423	9.221123433	8.139964672	8.121297269	7.519754729	7.963584893	7.440073001	7.892547413	7.548836318	7.775177908	7.639744306	8.117807574	7.422741446	7.527611316	7.133977833	7.536579481	7.575868069	7.327494241	7.830297877	7.797445248	7.985184661
1990	8.902401936	8.694691581	7.758239207	7.753796562	7.795234376	8.372500993	7.901407687	8.264901833	9.209179349	8.154022337	8.169344766	7.511367407	7.98783914	7.453441252	7.906762744	7.54331701	7.783615187	7.660123483	8.172956113	7.464004554	7.560039797	7.1500391	7.597503868	7.573069222	7.344020344	7.848611301	7.801341902	8.045535634
1991	8.985816817	8.725072458	7.852743742	7.780214734	7.857893126	8.425931763	7.949259834	8.322634114	9.275530825	8.222442806	8.325038554	7.487286155	8.108635351	7.51791994	8.034014925	7.596946038	7.8341962	7.72302675	8.317972128	7.568886764	7.634890319	7.223770531	7.647840517	7.626653675	7.394717619	7.881236267	7.827172079	8.163204908
1992	9.088281674	8.823690402	7.988905934	7.896989018	7.951777072	8.533657756	8.055247404	8.379233429	9.410698424	8.440632885	8.490933035	7.629987238	8.281508528	7.643598576	8.185507021	7.714217939	7.953840028	7.830622582	8.503555282	7.724072524	7.744335933	7.287876145	7.738165336	7.707732512	7.47650669	7.937325418	7.895195281	8.272374101
1993	9.193469333	8.929253484	8.1425163	8.001085189	8.041263058	8.666096518	8.166650838	8.443653811	9.546620859	8.613216014	8.682726702	7.809866722	8.495398476	7.758538104	8.379828153	7.851030149	8.074498811	7.946728408	8.692373399	7.903189312	7.864894652	7.368096376	7.825179115	7.809962952	7.572949781	8.016061392	7.975120499	8.355341643
1994	9.308479144	9.055395072	8.272919016	8.080029301	8.125015147	8.766090706	8.292898337	8.518322628	9.675101632	8.758216159	8.858506179	7.987388365	8.681365595	7.903262536	8.527480939	7.971624193	8.204390786	8.044140661	8.853992013	8.039292512	7.960297568	7.435404968	7.921126079	7.876873066	7.657915332	8.079994508	8.035913174	8.442117851
1995	9.3192127	9.186828326	8.395428338	8.174835617	8.201546375	8.828555276	8.379420011	8.602123236	9.764416361	8.895061436	9.007137338	8.11135216	8.80604233	8.026782903	8.656348602	8.101591164	8.331443729	8.141794066	8.966475455	8.170592796	8.045758075	7.493369943	8.014421928	7.953615382	7.727397775	8.142295601	8.104391293	8.510681973
1996	9.400849053	9.314135483	8.514785978	8.268849597	8.311085923	8.905208528	8.500892783	8.694699728	9.883811127	9.003966548	9.121155114	8.23644824	8.941889577	8.142249983	8.767677652	8.223860897	8.44628935	8.251290633	9.054678909	8.258551988	8.135632214	7.565320798	8.100413488	8.042523256	7.824427373	8.210348687	8.255278634	8.556000557
1997	9.507722617	9.423096225	8.626265664	8.358454843	8.395463029	8.98513761	8.582030781	8.783859333	9.976943233	9.11196488	9.205453362	8.346660847	9.070875118	8.240201796	8.868473456	8.315089701	8.560300406	8.348107657	9.142582504	8.335187213	8.231187559	7.628969381	8.177471323	8.130241666	7.89512235	8.280265862	8.311402131	8.643336386
